Site,date,time,variable,measurement
MC,10/3/2020,10:00:00 AM,DO,-19.32612842
MC,10/3/2020,10:30:00 AM,DO,-19.32612842
MC,10/3/2020,11:00:00 AM,DO,-19.32612842
MC,10/3/2020,11:30:00 AM,DO,-18.33015469
MC,10/3/2020,12:00:00 PM,DO,-17.33418097
MC,10/3/2020,12:30:00 PM,DO,-16.33820725
MC,10/3/2020,1:00:00 PM,DO,NA
MC,10/3/2020,1:30:00 PM,DO,-14.3462598
MC,10/3/2020,2:00:00 PM,DO,-11.35833863
MC,10/3/2020,2:30:00 PM,DO,-8.370417461
MC,10/3/2020,3:00:00 PM,DO,-7.374443738
MC,10/3/2020,3:30:00 PM,DO,-5.382496292
MC,10/3/2020,4:00:00 PM,DO,-3.390548845
MC,10/3/2020,4:30:00 PM,DO,-0.402627675
MC,10/3/2020,5:00:00 PM,DO,3.581267218
MC,10/3/2020,5:30:00 PM,DO,6.569188387
MC,10/3/2020,6:00:00 PM,DO,7.565162111
MC,10/3/2020,6:30:00 PM,DO,13.54100445
MC,10/3/2020,7:00:00 PM,DO,15.5329519
MC,10/3/2020,7:30:00 PM,DO,18.52087307
MC,10/3/2020,8:00:00 PM,DO,19.51684679
MC,10/3/2020,8:30:00 PM,DO,20.51282051
MC,10/3/2020,9:00:00 PM,DO,19.51684679
MC,10/3/2020,9:30:00 PM,DO,18.52087307
MC,10/3/2020,10:00:00 PM,DO,18.52087307
MC,10/3/2020,10:30:00 PM,DO,17.52489934
MC,10/3/2020,11:00:00 PM,DO,15.5329519
MC,10/3/2020,11:30:00 PM,DO,14.53697817
MC,10/4/2020,12:00:00 AM,DO,11.549057
MC,10/4/2020,12:30:00 AM,DO,9.557109557
MC,10/4/2020,1:00:00 AM,DO,6.569188387
MC,10/4/2020,1:30:00 AM,DO,4.577240941
MC,10/4/2020,2:00:00 AM,DO,2.585293494
MC,10/4/2020,2:30:00 AM,DO,-2.394575122
MC,10/4/2020,3:00:00 AM,DO,-4.386522568
MC,10/4/2020,3:30:00 AM,DO,-7.374443738
MC,10/4/2020,4:00:00 AM,DO,-9.366391185
MC,10/4/2020,4:30:00 AM,DO,-10.36236491
MC,10/4/2020,5:00:00 AM,DO,-12.35431235
MC,10/4/2020,5:30:00 AM,DO,-14.3462598
MC,10/4/2020,6:00:00 AM,DO,-15.34223352
MC,10/4/2020,6:30:00 AM,DO,-16.33820725
MC,10/4/2020,7:00:00 AM,DO,-17.33418097
MC,10/4/2020,7:30:00 AM,DO,-18.33015469
MC,10/4/2020,8:00:00 AM,DO,-19.32612842
MC,10/4/2020,8:30:00 AM,DO,-19.32612842
MC,10/4/2020,9:00:00 AM,DO,-19.32612842
MC,10/4/2020,9:30:00 AM,DO,-19.32612842
MC,10/4/2020,10:00:00 AM,DO,-19.32612842
MC,10/4/2020,10:30:00 AM,DO,-19.32612842
MC,10/4/2020,11:00:00 AM,DO,-19.32612842
MC,10/4/2020,11:30:00 AM,DO,-19.32612842
MC,10/4/2020,12:00:00 PM,DO,-16.33820725
MC,10/4/2020,12:30:00 PM,DO,-15.34223352
MC,10/4/2020,1:00:00 PM,DO,-10.36236491
MC,10/4/2020,1:30:00 PM,DO,NA
MC,10/4/2020,2:00:00 PM,DO,-4.386522568
MC,10/4/2020,2:30:00 PM,DO,-4.386522568
MC,10/4/2020,3:00:00 PM,DO,-3.390548845
MC,10/4/2020,3:30:00 PM,DO,-0.402627675
MC,10/4/2020,4:00:00 PM,DO,5.573214664
MC,10/4/2020,4:30:00 PM,DO,11.549057
MC,10/4/2020,5:00:00 PM,DO,16.52892562
MC,10/4/2020,5:30:00 PM,DO,18.52087307
MC,10/4/2020,6:00:00 PM,DO,19.51684679
MC,10/4/2020,6:30:00 PM,DO,23.50074168
MC,10/4/2020,7:00:00 PM,DO,23.50074168
MC,10/4/2020,7:30:00 PM,DO,24.49671541
MC,10/4/2020,8:00:00 PM,DO,25.49268913
MC,10/4/2020,8:30:00 PM,DO,25.49268913
MC,10/4/2020,9:00:00 PM,DO,25.49268913
MC,10/4/2020,9:30:00 PM,DO,23.50074168
MC,10/4/2020,10:00:00 PM,DO,21.50879424
MC,10/4/2020,10:30:00 PM,DO,19.51684679
MC,10/4/2020,11:00:00 PM,DO,17.52489934
MC,10/4/2020,11:30:00 PM,DO,15.5329519
HRP,10/2/2020,5:50:00 PM,Temp_C,16.85
HRP,10/2/2020,9:46:00 PM,Temp_C,15.33
